id,nom,groupe,siret
2,3M FRANCE SAS,,54207855500514
3,92 ENTREPRENDRE,,42147333100062
4,ABB SA,,31522842900652
6,AC NIELSEN,,33797048700027
9,PULLMAN INTERNATIONAL HOTELS (PIH) MERCURE PORTE DE VERSAILLES,,66200991900629
10,ACCURIDE INTERNATIONAL SARL,,32404710900024
11,ALSO FRANCE,,39114114000122
13,ACTIVEO,,39124405000046
15,AD PEPPER MEDIA FRANCE,,42821232800036
17,ADECCO FRANCE,GROUPE ADECCO ET FILIALES,99882350406396
18,ITELLIGENCE FRANCE,,43206519100020
21,ADHESION  GROUP,,33160579000053
22,ADIDAS FRANCE,,08548006900104
23,ADOBE SYSTEMS FRANCE SAS,ADOBE SYSTEMS FRANCE,35038196800071
24,ADP GSI FRANCE,,43212373500255
26,ADVISEHR,,43192074300033
27,AEGIS MEDIA FRANCE,Dentsu Aegis Network,35256798600026
29,AEROPORTS DE PARIS,,55201662800018
31,AFNOR DEVELOPPEMENT,,47907597000018
32,LINDE FRANCE,,39263124800201
33,AGEFA  PME,,40109504700040
35,AGENCE NATIONALE POUR LES CHEQUES VACANCES,,32681744299998
39,AGILIENCE,,43472622000024
41,AGRICA EPARGNE,,44991236900013
42,AIR FRANCE KLM,AIR FRANCE,55204300200484
43,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,,55209628100019
44,AIR PRODUCTS,,54850190700198
45,AIXIA SAS,,44500537400027
46,AJILON SALES & MARKETING,,30497003100122
47,AKKA  MANAGER,,44785031400017
48,AKKA TECHNOLOGIES,,42295086500051
50,GIE ALCATEL-LUCENT FRANSEMI HELCOM,,50870962300013
52,ALCATEL LUCENT BELL LABS FRANCE,,48763109500030
54,ALGORYTHME,,34188608300045
55,ALLEGRIA,,39358935300050
57,ALLIGRA,,39972866600013
58,SCC SERVICES,,42498282500012
59,ALLURE HOTESSES,,43825885700038
63,ALSTOM POWER SYSTEMS SA,,38919203000143
71,ALTRAN,ALTRAN,70201295600638
72,AMADEUS INTERNATIONAL,,32655630500034
73,AMBOILE SERVICES,,34103910500059
74,SPIE COMMUNICATIONS,SPIE COMMUNICATIONS ET FILIALES,31906007500813
76,AMERICAN EXPRESS SERVICES,,31606772700487
78,AMORA MAILLE SOCIETE INDUSTRIELLE,,31164122900076
79,APPIA COMMUNICATION,,42907859500023
80,APPLIED MATERIALS FRANCE,,38512486200033
81,APSIDE TECHNOLOGIES,,33345540000049
82,APTECH,,44905877500015
84,ARCELOR PACKAGING SA,,41481503500038
85,ARCHITECTURE STUDIO,,33784965700016
87,ARIA TECHNOLOGIES,,37918047400049
88,ARIANESPACE,,31851645700062
89,ARJOWIGGINS,,60201882200398
90,ARMANIA,,42961123900014
91,ARTIMON,,40112055500032
92,ARTS MENAGERS SERVICES SA,,56820073700092
93,ARTUR JOUK,,39537854000037
97,ASAIS,,33308869800043
103,CREDYS FRANCE,,44138489800033
104,ASSYSTEM FRANCE,,40427147000282
105,ASTEK,,34798980800242
106,ASTEN,,54205733600738
107,ASTON FRANCE,,39280203900017
108,ASTRAZENECA,,55820107500055
109,ATELIER SAINT LUC,,30084656500038
110,ACC LA JONCHERE,,92572091400025
111,ATLANTIQUE EMBALLAGE,,34770560000026
113,ATOS WORLDLINE,ATOS GROUP,37890194600574
114,ATOS ORIGIN INFOGERANCE,ATOS GROUP,06450263600679
115,ATTHIS,,40749640500025
116,AUBERT & DUVAL (AD),,38034280800041
117,AUCHAN FRANCE,Auchan,41040946000756
118,AUDITOIRE,,34213334500054
119,AUTOLIV FRANCE,,62200991800039
120,AUXIGENE,AUXIGENE,40223333200020
124,AVID TECHNOLOGY,,38307409300048
125,AVIS LOCATION DE VOITURES,,65202396101168
126,AVON POLYMERES FRANCE SAS,,31278633800029
129,AXA FRANCE ASSURANCE,GROUPE AXA,33435667200256
130,AXA INVESTMENT MANAGERS PARIS,GROUPE AXA,35353450600053
131,GEMALTO SA,,56211353000520
132,AXLOG INGENIERIE,,37810443400055
133,GROUPE ARMONIA,,30125188000128
134,ADDENDA SOFTWARE,,32821597500033
136,ALLIANZ BANQUE,,57219946100789
137,BARILLA FRANCE,BARILLA,43322535600057
138,BAYER SANTE,,70658014900013
139,BBCM,,42015357900032
140,BDO FRANCE,BDO,48030713100031
141,BERNARD JULHIET SERVICES,,67204089600058
144,BMW FRANCE,,72200096500045
145,BNP PARIBAS ASSET MANAGEMENT,BNP PARIBAS,31937883200038
146,BNP PARIBAS,BNP PARIBAS FILIALES,66204244900014
147,BOLLORE,,05580412400141
148,BOSTON CONSULTING GROUP,,42859143200011
150,BOULONNERIES VISSERIES DE SABLE,,57625065800027
151,BOURJOIS,,56208251100063
152,BOUYGUES CONSTRUCTION,,55204599900794
153,BOUYGUES TELECOM,,39748093003449
154,BRED BANQUE POPULAIRE,,55209179500492
155,BROTHER FRANCE,,62205841000078
156,BT FRANCE,BT FRANCE,70203214500162
157,BULL SA,,54204606500059
158,BUREAU VERITAS FRANCE,BUREAU VERITAS,32053117100108
160,VIVAKI COMMUNICATIONS,,40357819800067
161,SAP FRANCE,SAP,37982199400124
164,CADEAU RELATION,,65201375600026
165,SUNGARD GLOBAL SERVICES FRANCE,,42052357300020
166,CAISSE D EPARGNE ET DE PREVOYANCE ILE-DE FRANCE (CEIDF),BPCE,38290094200014
167,SERVICES POUR LA CAISSE DES DEPOTS ET CONSIGNATIONS (SCDC,,30434870900011
168,CAISSES D'EPARGNE PARTICIPATIONS (CE PARTICIPATIONS),BPCE,38368022000019
169,CAMPUS VEOLIA ENVIRONNEMENT,VEOLIA,44023495300022
173,CARL ZEISS SA,,71980166400140
174,CROWN EUROPE GROUP SERVICES,,32605714800081
175,CAROLL INTERNATIONAL,,58200170701699
177,CASINO GUICHARD PERRACHON,,55450117132465
182,SOCIETE FRANCAISE DU RADIOTELEPHONE SFR,,40310653700034
186,CHALLENGE QUALITE,,37972343000052
190,CIMENTS CALCIA,,65480068900139
192,CIVIS GIE,,32326774000070
195,CLUB MEDITERRANEE,,57218568401087
196,SOCIETE FONCIERE DE LA CNP,,32081411400056
197,COCA COLA ENTREPRISE,,34368801600405
198,COFACE GESTION RESEAU INTERNATIONAL,,41439896600021
199,COFIROUTE,,55211589100418
200,COGNITIS GROUP,,34878679900091
201,COLAS,,55202531402325
202,COLGATE PALMOLIVE,,47899164900011
203,COLOMER FRANCE SAS,,37913364800053
204,COMMERCEQUITABLE COM,,43377940200018
205,AUTOMOTIVE LIGHTING REAR LAMPS FRANCE,,32995921700053
207,COMPUTERLAND FRANCE,,33108885600066
209,CONTROLE AUDIT CONSEIL,,40320241900012
210,L'ART DU BIEN ETRE,,45083562400013
211,COTY FRANCE,,39471055200057
212,COVENTYA GROUP,,43342057700010
213,OMNISERVICES,,42134665100019
214,AMUNDI,CRÉDIT AGRICOLE,43757445200029
215,CREDIT AGRICOLE SA,CRÉDIT AGRICOLE,78460841600144
216,HSBC France,HSBC,77567028400014
221,CS COMMUNICATION & SYSTEMES,,69200094600354
222,CSC COMPUTER SCIENCES,CSC,31526866400143
223,MERCEDES BENZ FRANCE,,62204428700234
226,DASSAULT SYSTEMES,DASSAULT,32230644000213
227,LES PUBLICATIONS CONDE NAST SA,,56207720600091
228,DELL,,35152822900088
229,DELOITTE,GROUPE DELOITTE,43134707900037
231,DELSEY,,57201750700102
232,DEOTTO ESPRESSO SYSTEMS,,38249533100037
233,DEVEUROP,,43859960700035
234,DEXIA CREDIT LOCAL,,35180404200536
235,DIM,,48872729800017
236,PROMOTION DU PRET A PORTER (P P P),,30157193100064
237,DIRECTLABO,,43856136700048
239,DOROTHY DANAHY SAS,,42890880000033
241,DU PAREIL AU MEME,DPAM,32601977502845
242,DYRUP,,38034258400055
244,ECF,,58201293600012
245,ECODURABLE,,42970327500017
246,ECOEFF,,42206478200028
248,EDELMAN SA,,34959587600054
249,EDEN SERVICES SAS,,45191039200013
250,EDITIONS ATLAS WEBENCYCLO ATLAS FOR MEN,,69365013700625
251,EDITIS,,44014374100021
252,HP ENTERPRISE SERVICES FRANCE,,33286810800256
253,EFFICIO FRANCE,,42822221000018
254,EIFFAGE CONSTRUCTION,,55200076200377
255,FAGORBRANDT SAS,,44030319600156
256,ELECREM,,56213053400034
257,COGNETAS,,39345009300025
